Date,FB,AAPL,AMZN,NFLX,GOOGL,TSLA
2016-10-28,131.2899932861328,109.7015609741211,776.3200073242188,126.56999969482422,819.5599975585938,199.97000122070312
2016-10-31,130.99000549316406,109.52792358398438,789.8200073242188,124.87000274658203,809.9000244140625,197.72999572753906
2016-11-01,129.5,107.55034637451172,785.4099731445312,123.30000305175781,805.47998046875,190.7899932861328
2016-11-02,127.16999816894531,107.64682006835938,765.5599975585938,122.33999633789062,788.4199829101562,188.02000427246094
2016-11-03,120.0,106.49298858642578,767.030029296875,122.13999938964844,782.1900024414062,187.4199981689453
2016-11-04,120.75,105.5330581665039,755.0499877929688,122.02999877929688,781.0999755859375,190.55999755859375
2016-11-07,122.1500015258789,107.05535888671875,784.9299926757812,124.58000183105469,802.030029296875,193.2100067138672
2016-11-08,124.22000122070312,107.68560028076172,787.75,124.33999633789062,811.97998046875,194.94000244140625
2016-11-09,123.18000030517578,107.51107788085938,771.8800048828125,122.19000244140625,805.5900268554688,190.05999755859375
2016-11-10,120.80000305175781,104.51496124267578,742.3800048828125,115.41999816894531,780.2899780273438,185.35000610351562
2016-11-11,119.0199966430664,105.13551330566406,739.010009765625,114.77999877929688,771.75,188.55999755859375
2016-11-14,115.08000183105469,102.49816131591797,719.0700073242188,113.37999725341797,753.219970703125,181.4499969482422
2016-11-15,117.19999694824219,103.85563659667969,743.239990234375,113.58999633789062,775.1599731445312,183.77000427246094
2016-11-16,116.33999633789062,106.64813232421875,746.489990234375,115.19000244140625,779.97998046875,183.92999267578125
2016-11-17,117.79000091552734,106.60932922363281,756.4000244140625,115.02999877929688,786.1599731445312,188.66000366210938
2016-11-18,117.0199966430664,106.71599578857422,760.1599731445312,115.20999908447266,775.969970703125,185.02000427246094
2016-11-21,121.7699966430664,108.33526611328125,780.0,117.95999908447266,784.7999877929688,184.52000427246094
2016-11-22,121.47000122070312,108.40313720703125,785.3300170898438,118.04000091552734,785.0,191.1699981689453
2016-11-23,120.83999633789062,107.85044860839844,780.1199951171875,117.69000244140625,779.0,193.13999938964844
2016-11-25,120.37999725341797,108.3934326171875,780.3699951171875,117.41000366210938,780.22998046875,196.64999389648438
2016-11-28,120.41000366210938,108.18012237548828,766.77001953125,116.93000030517578,785.7899780273438,196.1199951171875
2016-11-29,120.87000274658203,108.0734634399414,762.52001953125,117.51000213623047,789.4400024414062,189.57000732421875
2016-11-30,118.41999816894531,107.16201782226562,750.5700073242188,117.0,775.8800048828125,189.39999389648438
2016-12-01,115.0999984741211,106.16331481933594,743.6500244140625,117.22000122070312,764.3300170898438,181.8800048828125
2016-12-02,115.4000015258789,106.56085968017578,740.3400268554688,120.80999755859375,764.4600219726562,181.47000122070312
2016-12-05,117.43000030517578,105.79486846923828,759.3599853515625,119.16000366210938,778.219970703125,186.8000030517578
2016-12-06,117.30999755859375,106.60932922363281,764.719970703125,124.56999969482422,776.1799926757812,185.85000610351562
2016-12-07,117.94999694824219,107.6565170288086,770.4199829101562,125.38999938964844,791.469970703125,193.14999389648438
2016-12-08,118.91000366210938,108.71340942382812,767.3300170898438,123.23999786376953,795.1699829101562,192.2899932861328
2016-12-09,119.68000030517578,110.48780059814453,768.6599731445312,122.87999725341797,809.4500122070312,192.17999267578125
2016-12-12,117.7699966430664,109.85755920410156,760.1199951171875,122.83000183105469,807.9000244140625,192.42999267578125
2016-12-13,120.30999755859375,111.69013214111328,774.3400268554688,123.77999877929688,815.3400268554688,198.14999389648438
2016-12-14,120.20999908447266,111.69013214111328,768.8200073242188,123.44000244140625,817.8900146484375,198.69000244140625
2016-12-15,120.56999969482422,112.30097961425781,761.0,125.0,815.6500244140625,197.5800018310547
2016-12-16,119.87000274658203,112.44644165039062,757.77001953125,124.22000122070312,809.8400268554688,202.49000549316406
2016-12-19,119.23999786376953,113.0960693359375,766.0,125.44999694824219,812.5,202.72999572753906
2016-12-20,119.08999633789062,113.39665222167969,771.219970703125,125.12000274658203,815.2000122070312,208.7899932861328
2016-12-21,119.04000091552734,113.50330352783203,770.5999755859375,126.5,812.2000122070312,207.6999969482422
2016-12-22,117.4000015258789,112.7567138671875,766.3400268554688,125.58000183105469,809.6799926757812,208.4499969482422
2016-12-23,117.2699966430664,112.9797134399414,760.5900268554688,125.58999633789062,807.7999877929688,213.33999633789062
2016-12-27,118.01000213623047,113.6972427368164,771.4000244140625,128.35000610351562,809.9299926757812,219.52999877929688
2016-12-28,116.91999816894531,113.2124252319336,772.1300048828125,125.88999938964844,804.5700073242188,219.74000549316406
2016-12-29,116.3499984741211,113.18333435058594,765.1500244140625,125.33000183105469,802.8800048828125,214.67999267578125
2016-12-30,115.05000305175781,112.30097961425781,749.8699951171875,123.80000305175781,792.4500122070312,213.69000244140625
2017-01-03,116.86000061035156,112.62096405029297,753.6699829101562,127.48999786376953,808.010009765625,216.99000549316406
2017-01-04,118.69000244140625,112.49491119384766,757.1799926757812,129.41000366210938,807.77001953125,226.99000549316406
2017-01-05,120.66999816894531,113.06698608398438,780.4500122070312,131.80999755859375,813.02001953125,226.75
2017-01-06,123.41000366210938,114.32748413085938,795.989990234375,131.07000732421875,825.2100219726562,229.00999450683594
2017-01-09,124.9000015258789,115.37466430664062,796.9199829101562,130.9499969482422,827.1799926757812,231.27999877929688
2017-01-10,124.3499984741211,115.49102020263672,795.9000244140625,129.88999938964844,826.010009765625,229.8699951171875
2017-01-11,126.08999633789062,116.11158752441406,799.02001953125,130.5,829.8599853515625,229.72999572753906
2017-01-12,126.62000274658203,115.62676239013672,813.6400146484375,129.17999267578125,829.530029296875,229.58999633789062
2017-01-13,128.33999633789062,115.42314910888672,817.1400146484375,133.6999969482422,830.9400024414062,237.75
2017-01-17,127.87000274658203,116.35398864746094,809.719970703125,132.88999938964844,827.4600219726562,235.5800018310547
2017-01-18,127.91999816894531,116.34428405761719,807.47998046875,133.25999450683594,829.02001953125,238.36000061035156
2017-01-19,127.55000305175781,116.14067077636719,809.0399780273438,138.41000366210938,824.3699951171875,243.75999450683594
2017-01-20,127.04000091552734,116.35398864746094,808.3300170898438,138.60000610351562,828.1699829101562,244.72999572753906
2017-01-23,128.92999267578125,116.43154907226562,817.8800048828125,137.38999938964844,844.4299926757812,248.9199981689453
2017-01-24,129.3699951171875,116.32489776611328,822.4400024414062,140.11000061035156,849.530029296875,254.61000061035156
2017-01-25,131.47999572753906,118.1768569946289,836.52001953125,139.52000427246094,858.4500122070312,254.47000122070312
2017-01-26,132.77999877929688,118.23503875732422,839.1500244140625,138.9600067138672,856.97998046875,252.50999450683594
2017-01-27,132.17999267578125,118.2447280883789,835.77001953125,142.4499969482422,845.030029296875,252.9499969482422
2017-01-30,130.97999572753906,117.93445587158203,830.3800048828125,141.22000122070312,823.8300170898438,250.6300048828125
2017-01-31,130.32000732421875,117.6629638671875,823.47998046875,140.7100067138672,820.1900024414062,251.92999267578125
2017-02-01,133.22999572753906,124.838134765625,832.3499755859375,140.77999877929688,815.239990234375,249.24000549316406
2017-02-02,130.83999633789062,124.62480926513672,839.9500122070312,139.1999969482422,818.260009765625,251.5500030517578
2017-02-03,130.97999572753906,125.15809631347656,810.2000122070312,140.25,820.1300048828125,251.3300018310547
2017-02-06,132.05999755859375,126.33133697509766,807.6400146484375,140.97000122070312,821.6199951171875,257.7699890136719
2017-02-07,131.83999633789062,127.53366088867188,812.5,144.0,829.22998046875,257.4800109863281
2017-02-08,134.1999969482422,128.0281524658203,819.7100219726562,144.74000549316406,829.8800048828125,262.0799865722656
2017-02-09,134.13999938964844,128.9532928466797,821.3599853515625,144.13999938964844,830.0599975585938,269.20001220703125
2017-02-10,134.19000244140625,128.66114807128906,827.4600219726562,144.82000732421875,834.8499755859375,269.2300109863281
2017-02-13,134.0500030517578,129.80052185058594,836.530029296875,143.1999969482422,838.9600219726562,280.6000061035156
2017-02-14,133.85000610351562,131.48521423339844,836.3900146484375,140.82000732421875,840.030029296875,280.9800109863281
2017-02-15,133.44000244140625,131.96238708496094,842.7000122070312,142.27000427246094,837.3200073242188,279.760009765625
2017-02-16,133.83999633789062,131.8065948486328,844.1400146484375,142.00999450683594,842.1699829101562,268.95001220703125
2017-02-17,133.52999877929688,132.1669158935547,845.0700073242188,142.22000122070312,846.5499877929688,272.2300109863281
2017-02-21,133.72000122070312,133.12124633789062,856.4400024414062,142.60000610351562,849.27001953125,277.3900146484375
2017-02-22,136.1199951171875,133.5205078125,855.6099853515625,143.86000061035156,851.3599853515625,273.510009765625
2017-02-23,135.36000061035156,132.9556884765625,852.1900024414062,142.77999877929688,851.0,255.99000549316406
2017-02-24,135.44000244140625,133.08230590820312,845.239990234375,143.25,847.8099975585938,257.0
2017-02-27,136.41000366210938,133.34521484375,848.6400146484375,143.41000366210938,849.6699829101562,246.22999572753906
2017-02-28,135.5399932861328,133.40365600585938,845.0399780273438,142.1300048828125,844.9299926757812,249.99000549316406
2017-03-01,137.4199981689453,136.13034057617188,853.0800170898438,142.64999389648438,856.75,250.02000427246094
2017-03-02,136.75999450683594,135.32208251953125,848.9099731445312,139.52999877929688,849.8499755859375,250.47999572753906
2017-03-03,137.1699981689453,136.12060546875,849.8800048828125,139.13999938964844,849.0800170898438,251.57000732421875
2017-03-06,137.4199981689453,135.69210815429688,846.6099853515625,141.94000244140625,847.27001953125,251.2100067138672
2017-03-07,137.3000030517578,135.86741638183594,846.02001953125,141.42999267578125,851.1500244140625,248.58999633789062
2017-03-08,137.72000122070312,135.36105346679688,850.5,140.32000732421875,853.6400146484375,246.8699951171875
2017-03-09,138.24000549316406,135.0493927001953,853.0,140.52999877929688,857.8400268554688,244.89999389648438
2017-03-10,138.7899932861328,135.4973602294922,852.4600219726562,140.88999938964844,861.4099731445312,243.69000244140625
